Campaña;Usuarios Iniciales;Usuarios Contactables;Usuarios Contactables (%);Usuarios Sin Rebote;Usuarios Sin Rebote (%);Usuarios Compra;Usuarios Compra (%);Usuarios Compra otra CAT;Usuarios Compra otra CAT (%);Efectividad;Delta CP >1 Cuota;Delta CP 1 Cuota;Delta  TP >1 Cuota;Delta TP 1 Cuota;TP >1 Cuota;TP 1 Cuota;# Compras >1 Cuota Contactable;# Compras 1 Cuota Contactable;# Usuarios Compra Contactables;CP 1 Cuota;CP >1 Cuota;Cuota Prom Total
may-25;43211;34197;79.14%;34185;99.96%;6855;20.05%;20252;59.24%;20.05%;0.77;1.16;$ 2,040.40;$ 2,762.02;$ 396,871.44;$ 140,915.19;37265;101788;20615;6,237,009,803,921,560;3.27;11.21
abr-25;42649;32864;77.06%;32857;99.98%;5669;17.25%;18619;56.67%;17.25%;0.57;0.9;$ 2,921.15;$ 705.24;$ 377,192.47;$ 130,278.11;30220;87103;18917;5,822,003,876,746,200;2.99;11.78
mar-25;43624;33206;76.12%;33205;100.00%;6667;20.08%;18076;54.44%;20.08%;0.48;0.8;$ 8,243.77;$ 3,993.39;$ 392,620.32;$ 144,575.47;29940;85016;18987;5,733,477,205,287,290;2.84;12.05
feb-25;44732;31682;70.83%;31640;99.87%;3968;12.54%;17481;55.25%;12.54%;0.44;0.75;-$ 3,047.11;$ 6,544.13;$ 397,694.22;$ 138,257.59;24162;72515;17810;514,363,739,537,523;2.65;10.81
ene-25;45518;34371;75.51%;34329;99.88%;6697;19.51%;19125;55.71%;19.51%;0.5;0.6;$ 11,530.90;$ 6,170.14;$ 402,481.20;$ 139,344.32;32846;86555;19748;5,636,558,999,739,510;2.99;11.76
dic-24;47046;34739;73.84%;34340;98.85%;4902;14.27%;21272;61.95%;14.27%;0.53;0.57;$ 4,299.90;$ 18,099.73;$ 388,058.99;$ 155,056.68;41363;96824;21452;5,811,415,881,399,670;3.3;10.87
nov-24;45042;33302;73.94%;33234;99.80%;6605;19.87%;21112;63.53%;19.87%;0.71;1.09;$ 11,358.98;$ 10,267.39;$ 383,638.98;$ 140,912.15;40460;108527;21529;6,267,078,593,289,830;3.31;10.29
oct-24;46888;34162;72.86%;34078;99.75%;7300;21.42%;20620;60.51%;21.42%;0.58;0.87;$ 12,319.63;$ 9,457.24;$ 365,371.52;$ 134,843.61;37157;99441;21290;5,860,156,756,438,210;3.1;10.59
sept-24;36591;27264;74.51%;27237;99.90%;6616;24.29%;15797;58.00%;24.29%;0.6;1.06;$ 19,298.57;$ 12,008.12;$ 359,325.54;$ 131,732.74;27325;71278;16474;5,552,543,429,150,110;2.97;10.09
ago-24;35568;26094;73.36%;26094;100.00%;6464;24.77%;15022;57.57%;24.77%;0.35;0.6;$ 16,388.10;$ 9,579.05;$ 367,136.38;$ 129,383.43;23721;64636;16012;5,124,554,031,554,740;2.71;10.12
jul-24;37112;27486;74.06%;27484;99.99%;6452;23.48%;15220;55.38%;23.48%;0.5;0.84;$ 197.38;$ 4,453.07;$ 385,757.39;$ 132,565.63;24526;66515;16160;53,021,123,953,766,400;2.78;11.26
jun-24;37337;28924;77.47%;28903;99.93%;6723;23.26%;17141;59.31%;23.26%;1.18;1.79;$ 10,090.37;$ 12,445.51;$ 371,014.48;$ 136,462.54;33064;87720;17587;6,290,426,676,228,030;3.53;10.87
may-24;38555;30611;79.40%;30607;99.99%;7917;25.87%;18299;59.79%;25.87%;1.08;1.51;-$ 12,865.59;$ 4,527.65;$ 351,330.16;$ 121,953.54;34000;90893;18571;6,170,604,209,097,080;3.38;10.13
abr-24;36735;28412;77.34%;28411;100.00%;6766;23.81%;19924;70.13%;23.81%;1.06;1.93;-$ 37,336.68;$ 5,777.55;$ 374,732.59;$ 125,399.27;33452;96750;20013;61,168,363,153,568,900;3.19;10.53
mar-24;37191;29435;79.15%;29435;100.00%;9032;30.68%;19534;66.36%;30.68%;1.13;2.3;$ 12,682.91;$ 1,954.79;$ 369,815.43;$ 123,971.89;36970;100677;20153;6,398,690,733,443,490;3.43;10.69
feb-24;36650;27460;74.92%;27456;99.99%;7071;25.75%;19030;69.31%;25.75%;0.06;0.14;$ 24,287.39;$ 4,760.02;$ 372,482.51;$ 122,860.82;23430;64008;20629;39,584,415,584,415,500;2.19;10.01
ene-24;40546;32272;79.59%;32235;99.89%;6965;21.61%;20909;64.86%;21.61%;1.01;1.78;$ 17,271.97;$ 3,689.19;$ 374,903.69;$ 127,125.12;36942;96817;21178;5,874,105,084,334,420;3.2;10.66
dic-23;40270;31654;78.60%;31149;98.40%;4330;13.90%;22521;72.30%;13.90%;0.86;1.33;$ 14,370.37;$ 14,200.85;$ 345,218.23;$ 139,796.89;44644;96077;22579;5,870,524,257,607,230;3.3;11.06
nov-23;40927;32662;79.81%;32601;99.81%;6710;20.58%;22794;69.92%;20.58%;1.03;2.07;-$ 23,664.61;$ 6,776.16;$ 337,773.72;$ 135,368.37;45323;104460;22986;6,108,414,712,589,900;3.39;11.39
oct-23;42640;34087;79.94%;34043;99.87%;7755;22.78%;22187;65.17%;22.78%;1.02;1.84;-$ 9,088.37;$ 3,375.17;$ 307,527.80;$ 119,287.18;47136;104381;22491;629,939,649,969,825;3.51;11.08
sept-23;43363;34116;78.68%;34091;99.93%;8398;24.63%;23188;68.02%;24.63%;0.97;1.91;$ 2,152.49;$ 9,191.32;$ 308,661.77;$ 119,859.46;47092;106646;23655;6,128,376,048,730,030;3.4;11.05
ago-23;44202;34372;77.76%;34370;99.99%;7171;20.86%;21015;61.14%;20.86%;0.63;1.16;-$ 5,117.60;$ 3,960.78;$ 314,449.91;$ 120,928.60;38436;85004;21662;5,342,803,268,384,660;3.04;11.36
jul-23;49656;36927;74.37%;36916;99.97%;7604;20.60%;23314;63.15%;20.60%;0.69;1.37;$ 8,813.68;$ 17,456.59;$ 338,736.57;$ 122,357.11;45122;104603;24015;5,976,289,778,895,040;3.2;11.64
jun-23;53175;39790;74.83%;39784;99.98%;7589;19.08%;22225;55.86%;19.08%;0.86;1.17;$ 15,172.55;$ 18,366.77;$ 325,812.17;$ 128,294.54;45453;99160;22699;5,886,263,801,495,900;3.49;10.99
may-23;54614;40715;74.55%;40712;99.99%;8397;20.63%;22899;56.25%;20.63%;0.77;1.15;$ 13,559.17;$ 16,710.27;$ 310,681.32;$ 122,608.16;46544;97904;23474;5,641,906,298,622,710;3.39;10.49
abr-23;53825;39716;73.79%;39714;99.99%;7621;19.19%;21234;53.47%;19.19%;0.56;0.69;$ 4,468.19;$ 10,420.46;$ 305,675.17;$ 120,322.12;38668;81010;21805;5,101,064,164,725,140;3.1;10.75
mar-23;57557;42719;74.22%;42719;100.00%;7004;16.40%;26596;62.26%;16.40%;0.88;1.99;$ 9,128.57;$ 16,744.78;$ 318,080.26;$ 125,175.68;50036;114030;26970;5,804,234,958,770,230;3.27;10.85
feb-23;59706;42911;71.87%;42862;99.89%;7422;17.32%;26115;60.93%;17.32%;0.5;0.96;-$ 21,190.25;$ 9,620.12;$ 308,285.64;$ 123,380.21;39989;85551;27129;4,345,116,562,547,610;2.64;10.55
ene-23;56851;42829;75.34%;42711;99.72%;5169;12.10%;22576;52.86%;12.10%;0.56;0.51;$ 14,225.28;$ 15,124.46;$ 341,683.81;$ 123,157.45;45170;67184;22787;4,558,246,828,143,020;2.98;14.23
dic-22;56649;43068;76.03%;42508;98.70%;1761;4.14%;24772;58.28%;4.14%;0.31;0.32;$ 20,483.69;$ 16,381.25;$ 343,321.60;$ 139,462.80;48766;71374;24805;43,383,175,297,836,100;2.98;12.32
nov-22;55513;42089;75.82%;41876;99.49%;6977;16.66%;23133;55.24%;16.66%;0.66;0.84;$ 24,830.04;$ 14,799.20;$ 331,942.42;$ 123,272.25;46800;71972;23455;4,588,002,804,870,270;3.1;14.45
oct-22;55819;42136;75.49%;41864;99.35%;6184;14.77%;23464;56.05%;14.77%;0.7;0.87;$ 14,640.50;$ 6,828.14;$ 325,596.70;$ 114,732.50;52060;74160;23683;4,803,108,808,290,150;3.24;13.95
sept-22;54856;41425;75.52%;41305;99.71%;5584;13.52%;21993;53.25%;13.52%;0.64;0.62;$ 14,580.68;$ 10,427.46;$ 322,289.24;$ 107,913.45;41973;58320;22333;4,074,332,821,014,390;2.87;14.27
ago-22;52981;39244;74.07%;39239;99.99%;6789;17.30%;22605;57.61%;17.30%;0.52;0.49;$ 3,563.44;$ 8,644.36;$ 336,761.01;$ 109,427.21;45629;64878;23243;4,232,093,933,463,790;2.96;14.13
jul-22;53051;39619;74.68%;39618;100.00%;6346;16.02%;21484;54.23%;16.02%;0.49;0.5;-$ 75.16;$ 4,544.80;$ 341,652.24;$ 109,888.31;40832;62061;22051;4,210,379,918,588,870;2.88;13.61
jun-22;56288;42376;75.28%;42373;99.99%;6851;16.17%;21470;50.67%;16.17%;0.84;0.99;$ 1,961.48;$ 10,125.18;$ 349,379.27;$ 126,404.56;43836;61529;22091;4,258,946,494,081,810;3.07;13.73
may-22;50633;38375;75.79%;38375;100.00%;4527;11.80%;15112;39.38%;11.80%;0.59;0.6;$ 4,694.30;$ 16,518.08;$ 315,912.22;$ 112,611.15;22941;33202;15582;3,355,771,174,449,160;2.45;13.92
abr-22;39133;28057;71.70%;28057;100.00%;3968;14.14%;16691;59.49%;14.14%;0.53;0.7;$ 20,406.96;$ 7,052.88;$ 316,912.26;$ 103,421.23;30972;48993;16972;4,124,684,290,284,550;2.94;13.58
mar-22;53733;40951;76.21%;40951;100.00%;5558;13.57%;19748;48.22%;13.57%;0.64;0.83;$ 10,294.45;$ 2,619.62;$ 333,211.53;$ 116,854.48;38601;54206;20197;42,229,666,562,792,100;2.9;13.17
feb-22;50980;39506;77.49%;39185;99.19%;6212;15.85%;21254;54.24%;15.85%;0.54;0.66;-$ 10,140.80;$ 1,670.06;$ 322,249.30;$ 100,282.56;37656;55664;21800;3,862,336,941,437,690;2.74;13.33
ene-22;62500;54551;87.28%;52714;96.63%;;0.00%;26572;50.41%;;1.12;0.96;$ 12,426.18;$ 7,919.39;$ 329,813.11;$ 103,781.55;64116;78918;26572;4,747,804,115,028,270;3.65;13.28
dic-21;66036;57685;87.35%;55161;95.62%;;0.00%;30039;54.46%;;1.07;0.67;$ 8,566.98;$ 11,279.95;$ 300,783.94;$ 113,714.91;86017;97197;30039;5,097,120,981,698,040;4.18;10.92
nov-21;53822;47635;88.50%;46055;96.68%;;0.00%;24351;52.87%;;0.52;0.34;$ 3,598.25;$ 237.14;$ 313,844.60;$ 111,451.86;47399;60902;24351;3,839,248,565,845,040;2.84;12.84
oct-21;53479;47937;89.64%;46420;96.84%;;0.00%;21105;45.47%;;0.4;0.31;-$ 10,877.88;-$ 6,023.11;$ 307,885.50;$ 100,522.30;31883;41749;21105;3,075,659,348,754,970;2.38;13.11
sept-21;37082;33222;89.59%;32560;98.01%;;0.00%;15783;48.47%;;0.4;0.23;$ 15,342.34;-$ 5,072.43;$ 306,924.09;$ 94,612.14;22215;34431;15783;3,150,425,473,510,840;2.35;11.56
